content,sentiment
sorry to bother you,0
out of left field,0
that being said,1
I need a partner,1
a no-brainer,1
it is what it is,1
I need a partner,1
I am running out of ideas,0
I am running out of ideas,0
bang for your buck,1
I do not know what to write,0
no worries,1
provide the answer,1
think outside the box,0
get the ball rolling,1
irregardless,0
that makes sense,1
that makes sense,0
morning meeting,0
amazing,0
as per my last post,1
absolutely,0
we will circle back,0
this is hard,1
that makes sense,0
sorry to bother you,1
thanks for the help,1
get the ball rolling,1
thanks for the help,1
I need a partner,1
provide the answer,1
moving forward,0
provide the answer,0
this is hard,1
I do not know what to write,1
I do not know what to write,1
we will circle back,1
provide the answer,0
amazing,0
that being said,0
amazing,0
bang for your buck,1
bang for your buck,0
on the same page,1
interesting,1
irregardless,0
hit the ground running,1
that makes sense,1
out of left field,1
sorry to bother you,0
that makes sense,0
irregardless,1
morning meeting,1
provide the answer,0
this is exhausting,1
a no-brainer,1
as per my last post,1
that makes sense,0
no worries,0
irregardless,1
as per my last post,0
hit the ground running,0
I do not know what to write,1
a no-brainer,1
I need a partner,0
that makes sense,1
interesting,1
we will circle back,1
out of left field,0
this is exhausting,1
this is hard,1
moving forward,0
absolutely,0
I do not know what to write,0
at the end of the day,0
that makes sense,0
think outside the box,0
I need a partner,1
as per my last post,0
thanks for the help,0
sorry to bother you,0
a no-brainer,1
it is what it is,0
morning meeting,0
out of left field,0
absolutely,0
it is what it is,1
this is hard,1
think outside the box,0
I do not know what to write,0
sorry to bother you,0
that being said,0
morning meeting,1
this is exhausting,1
it is what it is,0
this is exhausting,0
this is hard,1
morning meeting,0
think outside the box,1
this is exhausting,0
I do not know what to write,0
no worries,0
I am running out of ideas,1
I am running out of ideas,0
out of left field,1
sorry to bother you,0
on the same page,1
morning meeting,1
irregardless,1
bang for your buck,1
on the same page,1
I need a partner,0
provide the answer,0
it is what it is,1
as per my last post,0
get the ball rolling,1
this is hard,1
no worries,0
I do not know what to write,1
on the same page,1
this is exhausting,0
thanks for the help,1
on the same page,1
morning meeting,1
no worries,0
sorry to bother you,0
provide the answer,1
amazing,1
I do not know what to write,1
thanks for the help,1
at the end of the day,0
thanks for the help,0
thanks for the help,1
no worries,0
irregardless,1
think outside the box,1
I do not know what to write,0
get the ball rolling,0
no worries,0
out of left field,1
this is hard,1
at the end of the day,1
provide the answer,0
a no-brainer,0
that makes sense,0
provide the answer,0
thanks for the help,0
irregardless,1
I need a partner,0
sorry to bother you,0
irregardless,0
at the end of the day,0
absolutely,0
this is exhausting,0
no worries,0
out of left field,0
this is hard,1
as per my last post,0
moving forward,1
think outside the box,1
